year,tax-bir,tax-customs,tax-other,nontax-bot,nontax-fees,nontax-assets,nontax-marcos,nontax-grants,ops-tax,ops-nontax,ops-expend,ng-debt-domestic,ng-debt-foreign,cps-lgu,cps-sss,cps-lending,cps-govfin,cps-others,cps-restruct,cps-gocc,cps-bsp,cps-ng,cps-debt-foreign,cps-debt-domestic,gdp
2003,"427,350.00","117,201.00","5,917.00","56,657.00","18,635.00",567,0,"13,410.00","550,468.00","89,269.00","-839,605.00","1,703,781.00","1,651,327.00","17,577.00","17,586.00","5,809.00","4,925.00","2,894.00","-15,663.00","-65,315.00","6,917.00","-199,868.00","1,531,064.03","3,542,958.43","4,548,102.00"
2004,"470,329.00","127,269.00","7,366.00","64,690.00","19,574.00",420,"8,854.00","8,216.00","604,964.00","101,754.00","-893,775.00","2,001,220.00","1,810,734.00","14,723.00","24,375.00","9,168.00","5,211.00","1,093.00","-17,478.00","-85,413.00","3,270.00","-187,057.00","1,699,999.06","3,589,212.58","5,120,435.00"
2005,"542,697.00","154,566.00","8,352.00","70,597.00","18,978.00","2,430.00","7,300.00","11,239.00","705,615.00","110,544.00","-962,937.00","2,164,293.00","1,723,938.00","23,783.00","48,934.00","1,529.00","6,614.00","3,276.00","-16,327.00","-25,374.00","3,632.00","-146,778.00","1,745,369.82","3,288,499.82","5,677,750.00"
2006,"652,734.00","198,161.00","8,962.00","74,446.00","16,761.00","5,815.00","8,358.00","14,401.00","859,857.00","119,781.00","-1,044,429.00","2,154,078.00","1,697,428.00","26,738.50","59,355.00",-31,"7,997.00","-4,565.00","-13,225.00","-1,056.00",557,"-64,791.00","1,913,883.33","3,029,740.79","6,271,157.00"
2007,"713,605.00","209,439.00","9,893.00","67,932.00","21,637.00","90,619.00",0,"23,435.00","932,937.00","203,623.00","-1,149,001.00","2,201,167.00","1,511,320.00","21,807.00","34,203.00","10,615.00","5,939.72",698,"-8,177.00","57,926.00","-89,220.00","-12,441.00","2,194,045.49","2,571,751.20","6,892,721.00"
2008,"778,581.00","260,248.00","10,360.00","63,681.00","16,409.00","31,289.00",0,"42,337.00","1,049,189.00","153,716.00","-1,271,022.00","2,414,428.00","1,806,475.00","34,578.00","66,699.00","13,753.00","7,496.00","2,280.00","-8,759.00","-27,158.90","9,427.00","-68,117.00","2,328,285.46","2,935,076.64","7,720,903.00"
2009,"750,287.00","220,307.00","11,037.00","69,912.00","19,253.00","1,390.00",0,"51,025.00","981,631.00","141,580.00","-1,421,743.00","2,470,040.00","1,926,599.00","34,695.00","44,500.00","-3,261.00","10,800.00",-121,"-8,759.00","-19,300.00",-168,"-298,532.00","2,691,683.75","2,997,990.79","8,026,143.00"
2010,"822,623.00","259,241.00","11,779.00","54,315.00","22,820.00",914,0,"36,234.00","1,093,643.00","114,283.00","-1,522,384.00","2,718,202.00","1,999,969.00","34,103.00","40,122.00","9,927.00","9,451.73","3,391.00","-7,689.00","-66,925.00","-63,722.00","-314,458.00","3,783,097.29","2,899,717.28","9,003,480.00"
2011,"924,146.00","265,108.00","12,812.00","75,236.00","26,048.00",930,0,"55,662.00","1,202,066.00","157,876.00","-1,557,696.00","2,873,357.00","2,077,831.00","34,724.00","47,965.70","1,019.00","9,760.00",0,"-3,536.00","-19,842.00","-47,432.00","-197,754.00","4,773,163.30","2,820,210.14","9,706,267.00"
2012,"1,057,916.00","289,866.00","13,299.00","84,080.00","27,793.00","8,348.00",0,"53,630.00","1,361,081.00","173,851.00","-1,777,759.00","3,468,375.00","1,968,729.00","73,648.00","72,727.00","27,200.00","9,269.00",-62,"-3,506.00","-4,906.00","-94,848.00","-242,827.00","5,219,892.64","2,275,735.71","10,564,887.00"
